ID,Date,Condition,Collector,Location,DS,IC,Comp,Age,Gender,Student,Mjr.Occ,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,Imp.1,Eff.1,Exc,Comments,Collection,DV,filter_$
A1,2/20/17,H,TT,UVA Campus,1,1,1,18,F,Y,Undecided,6,5,5,6,4,5,7,6,7,6,0,NA,1,5.5,1
A2,2/20/17,H,TT,UVA Campus,1,1,1,21,F,Y,Biology,5,5,5,6,5,5,5,5,5,4,0,NA,1,5,1
A3,2/20/17,H,TT,UVA Campus,1,1,1,19,F,Y,Environmental Science,5,6,5,7,6,6,7,6,6,6,0,NA,1,6,1
A4,2/20/17,H,TT,UVA Campus,1,1,1,18,F,Y,Undeclared,7,7,7,7,6,6,7,6,6,6,0,NA,1,6.5,1
A5,2/20/17,H,TT,UVA Campus,1,1,1,19,F,Y,Biology,6,6,6,7,6,6,7,6,5,5,0,NA,1,6.166666667,1
A6,2/20/17,H,TT,UVA Campus,1,1,1,21,F,Y,Human Biology,7,7,6,6,6,6,7,6,5,5,0,NA,1,6.5,1
A7,2/20/17,H,DF,UVA Campus,1,1,1,22,F,Y,Biology,6,7,6,7,7,7,7,6,7,6,0,NA,1,6.666666667,1
A8,2/20/17,H,DF,UVA Campus,1,1,1,19,F,Y,Nursing,7,6,6,7,7,7,7,7,6,6,0,NA,1,6.833333333,1
A9,2/20/17,H,DF,UVA Campus,1,1,1,22,F,Y,Biology,5,7,7,7,6,6,7,5,5,5,0,NA,1,6,1
A10,2/20/17,H,DF,UVA Campus,1,1,1,19,M,Y,Public policy or government,7,7,6,5,7,7,7,6,6,5,0,NA,1,6.833333333,1
A11,2/21/17,L,SC,UVA Campus,1,1,1,19,F,Y,"Government, economics",7,4,4,7,7,7,7,6,5,6,0,NA,1,6.333333333,1
A12,2/21/17,L,SC,UVA Campus,1,1,1,27,M,Y,Physics (Ph.D candidate),7,6,7,7,6,6,6,6,6,6,0,NA,1,6.166666667,1
A13,2/21/17,L,SC,UVA Campus,1,1,1,23,F,Y,"Chemistry, psychology",6,6,6,6,7,6,5,4,7,5,0,NA,1,5.666666667,1
A14,2/23/17,L,SC,UVA Campus,1,1,1,20,F,Y,Biochemistry,7,6,6,6,7,7,7,6,6,5,0,NA,1,6.666666667,1
A15,2/23/17,L,SC,UVA Campus,1,1,1,20,F,Y,Economics,6,6,6,6,7,6,6,6,5,5,0,NA,1,6.166666667,1
A16,2/23/17,L,SC,UVA Campus,1,1,1,20,M,Y,"Economics, statistics",6,5,7,6,5,6,7,6,6,5,0,NA,1,5.833333333,1
A17,2/23/17,L,SC,UVA Campus,1,1,1,22,M,Y,Psychology,7, ,6,6,6,6,7,6,6,6,0,NA,1,6.4,1
A18,2/23/17,L,SC,UVA Campus,1,1,1,20,F,Y,Biology,7,6,6,6,7,7,7,6,6,6,0,NA,1,6.666666667,1
A19,2/23/17,L,SC,UVA Campus,1,1,1,20,F,Y,Public policy,7,7,4,5,6,6,7,6,5,5,0,NA,1,6.5,1
A20,2/20/17,L,NK,UVA Campus,1,1,1,19,F,Y,Psychology,7,7,6,5,7,7,7,7,2,4,0,NA,1,7,1
